Gel condutor;Gel;Extratos da Terra;F/C;
Gel Crioterápico;Gel;Bel Col;C;
Gel de Limpeza;Gel;Mezzo;F;
Gel esfoliante Apricot;Gel;Extratos da Terra;C;
Gel Esfoliante Corporal Ozonizado;Gel;Lakma;C;
Gel Micelar Bio-cleanser Demaquilante;Gel;Bioage;F;
Gel Peeling (Kit área dos olhos);Gel;Bel Col;F;
Gel Redutor - Criolipolítico Vitta;Gel;Extratos da Terra;C;
Gel Termoativado;Gel;Lakma;C;
Glicólico Hyalu+Ca;Fluído;Mezzo;F;
Gomagem Enzimática;Creme;Bel Col;F;
Gordura e Celulite - SOS;Fluído;Bel Col;C;
Hidragel;Gel;Bel Col;F;
Hidraplast;Pó;Bel Col;F;
Hidro Fruit Máscara Hidratante Facial;Máscara;Bel Col;F;
Inverno mask;Creme;Tulipia;F;
Ion Corpe (Fluído Pré Procedimentos);Fluído;Bel Col;C;
Kit banho de Lua;Pó;Labotrat;C;
Leite de Limpeza Hidraclean;Leite;Bel Col;F;
Lightner - Banho de lua;Pó;Cless;C;
Liporedux - Fluído Potencializador;Fluído;Bioage;C;
Liporedux Creme de Massagem Cafeína 24h;Creme;Bioage;C;
Liporedux Creme de Massagem Firmador;Creme;Bioage;C;
Liporedux Cryogel Cafeína 24h;Gel;Bioage;C;
Liporedux Termogel Cafeína;Gel;Bioage;C;
Loção Facial (Kit fios de Seda);Fluído;Bioage;F;
Loção Tônica Adstringente;Fluído;Lakma;F;
Loção Tônica Facial Bio-Equilibre;Fluído;Dermare;F;
Loção Tônica Suavizante Bio-clean System;Fluído;Bioage;F;
Marezi mascara hidrocalmante;Gel;Tulipia;F;
Máscara Anti-aging (Kit área dos olhos);Creme;Bel Col;F;
Máscara Biodetox;Máscara;Extratos da Terra;F;
Máscara Corporal Oclusiva - LipoRedux;Creme;Bioage;C;
Máscara de Argila e Colágeno;Pó;Tulípia;F/C;
Máscara de Bambu Brasil;Creme;Bioage;F;
Máscara Detox;Creme;Extratos da Terra;C;
Microsérum;Fluído;Bel Col;F;
Oil Dermo Active (óleo de massagem);Óleo;Extratos da Terra;C;
Óleo de Massagem Corporal;Óleo;Raavi;C;
Óleo Essencial Bergamota;Óleo;By Samia;F/C;
Óleo Essencial Cedro;Óleo;By Samia;F/C;
Óleo Essencial Cipreste;Óleo;By Samia;F/C;
Óleo Essencial Laranja;Óleo;By Samia;F/C;
Óleo Essencial Manjerona;Óleo;By Samia;F/C;
Óleo Essencial Tomilho;Óleo;By Samia;F/C;
Óleo Essencial Ylang Ylang;Óleo;By Samia;F/C;
Óleo para massagem neutro;Óleo;DAgua;C;
Outono mask;Creme;Tulipia;F;
Peeling Enzimático 3 em 1;Gel;Bioage;C;
Peeling gel facial;Gel;Tulipia;F;
Peeling Químico Intensivo;Fluído;Bioage;F;
Peeling Químico Mandélico;Fluído;Bioage;F;
Polpa Transdérmica de Lipoplastia;Creme;Lakma;C;
Primavera mask;Creme;Tulipia;F;
Protetor Dermo Melan;Fluído;Samana;F;
Renova A - emulsão;Emulsão;Bel Col;F;
Sabonete Bio-cleanser Antisseptic;Gel;Bioage;F;
Sabonete Esfoliante Bio-cleanser Bambu Brasil;Gel;Bioage;F;
Sabonete Gel Líquido;Gel;Bel Col;F;
Sabonete Líquido Hidraclean;Fluído;Bel Col;F;
Sabonte glico-renovador black secret;Fluído;Tulipia;F;
Sérum (Kit área dos olhos);Fluído;Bel Col;F;
Sérum Concentrado Anticelulite - Liporedux;Fluído;Bioage;C;
Sérum Concentrado Antiestrias - Liporedux;Fluído;Bioage;C;
Sérum Concentrado Firmador - Liporedux;Fluído;Bioage;C;
Sérum Concentrado Redutor - Liporedux;Fluído;Bioage;C;
Sérum Hidrante Ácido Hialurônico;Fluído;Bioage;F;
Solução Emoliente;Fluído;Dermare;F;
Solução pré-peeling black secret;Fluído;Tulipia;F;
Splash Ozônio em Spray;Spray;Lakma;C;
Spray Higienizante;Spray;Lakma;C;
Stim Gel - Gel Hiperemiante;Gel;Bel Col;C;
TermoSal (sal para bandagem);Pó;Bel Col;C;
Tônico Adstringente Bio-cleanser Bambu Brasil;Fluído;Bioage;F;
Tônico Pré-Peeling;Fluído;Bel Col;F;
Tri-acne Secativo;Fluído;Bel Col;F;
Ultimate mascara de ouro;Creme;Tulipia;F;
Ultra Gel (para ultrassom);Gel;Bel Col;C;
Ultralift (Kit papada);Creme;Bel Col;F/C;
Verão mask;Creme;Tulipia;F;
